year,district,cluster
2019,강남구,2
2019,강동구,1
2019,강북구,1
2019,강서구,4
2019,관악구,4
2019,광진구,3
2019,구로구,3
2019,금천구,5
2019,노원구,4
2019,도봉구,1
2019,동대문구,3
2019,동작구,1
2019,마포구,3
2019,서대문구,0
2019,서초구,2
2019,성동구,0
2019,성북구,4
2019,송파구,2
2019,양천구,1
2019,영등포구,3
2019,용산구,0
2019,은평구,1
2019,종로구,5
2019,중구,5
2019,중랑구,1
2020,강남구,2
2020,강동구,1
2020,강북구,1
2020,강서구,4
2020,관악구,4
2020,광진구,3
2020,구로구,3
2020,금천구,5
2020,노원구,4
2020,도봉구,1
2020,동대문구,3
2020,동작구,1
2020,마포구,3
2020,서대문구,0
2020,서초구,2
2020,성동구,0
2020,성북구,4
2020,송파구,2
2020,양천구,1
2020,영등포구,3
2020,용산구,0
2020,은평구,1
2020,종로구,5
2020,중구,5
2020,중랑구,1
2021,강남구,2
2021,강동구,1
2021,강북구,1
2021,강서구,4
2021,관악구,4
2021,광진구,3
2021,구로구,3
2021,금천구,5
2021,노원구,4
2021,도봉구,1
2021,동대문구,3
2021,동작구,1
2021,마포구,3
2021,서대문구,0
2021,서초구,2
2021,성동구,0
2021,성북구,4
2021,송파구,2
2021,양천구,1
2021,영등포구,3
2021,용산구,0
2021,은평구,1
2021,종로구,5
2021,중구,5
2021,중랑구,1
2022,강남구,2
2022,강동구,1
2022,강북구,1
2022,강서구,4
2022,관악구,4
2022,광진구,3
2022,구로구,3
2022,금천구,5
2022,노원구,4
2022,도봉구,1
2022,동대문구,3
2022,동작구,1
2022,마포구,3
2022,서대문구,0
2022,서초구,2
2022,성동구,0
2022,성북구,4
2022,송파구,2
2022,양천구,1
2022,영등포구,3
2022,용산구,0
2022,은평구,1
2022,종로구,5
2022,중구,5
2022,중랑구,1
2023,강남구,2
2023,강동구,1
2023,강북구,1
2023,강서구,4
2023,관악구,4
2023,광진구,3
2023,구로구,3
2023,금천구,5
2023,노원구,4
2023,도봉구,1
2023,동대문구,3
2023,동작구,1
2023,마포구,3
2023,서대문구,0
2023,서초구,2
2023,성동구,0
2023,성북구,4
2023,송파구,2
2023,양천구,1
2023,영등포구,3
2023,용산구,0
2023,은평구,1
2023,종로구,5
2023,중구,5
2023,중랑구,1
2024,강남구,2
2024,강동구,1
2024,강북구,1
2024,강서구,4
2024,관악구,4
2024,광진구,3
2024,구로구,3
2024,금천구,5
2024,노원구,4
2024,도봉구,1
2024,동대문구,3
2024,동작구,1
2024,마포구,3
2024,서대문구,0
2024,서초구,2
2024,성동구,0
2024,성북구,4
2024,송파구,2
2024,양천구,1
2024,영등포구,3
2024,용산구,0
2024,은평구,1
2024,종로구,5
2024,중구,5
2024,중랑구,1
