year,district,total_resident_population,total_households,gas_supply_ratio,home_ratio,public_ratio,service_ratio,industry_ratio
2019,강남구,543181,231590,0.969817,0.19068,0.027703,0.777952,0.003665
2019,강동구,417848,176439,1.007,0.35808,0.047118,0.576358,0.018444
2019,강북구,314135,144059,0.986152,0.430824,0.059462,0.471269,0.038445
2019,강서구,591467,261572,0.94077,0.314512,0.100439,0.562823,0.022225
2019,관악구,500067,267910,0.985633,0.37914,0.148032,0.458276,0.014553
2019,광진구,350916,163696,1.053654,0.283547,0.062715,0.633302,0.020436
2019,구로구,397157,172206,1.086478,0.301855,0.034203,0.607446,0.056496
2019,금천구,232580,110124,1.07339,0.193378,0.016836,0.632706,0.157081
2019,노원구,535349,217605,0.898683,0.442877,0.108821,0.425034,0.023268
2019,도봉구,330674,136902,0.98878,0.477725,0.059619,0.409105,0.053551
2019,동대문구,341584,161716,1.065572,0.345376,0.092695,0.506827,0.055102
2019,동작구,396818,180678,1.023439,0.397503,0.100479,0.49006,0.011958
2019,마포구,312462,143896,1.216677,0.26074,0.065196,0.662812,0.011253
2019,서대문구,308632,139508,1.030737,0.341294,0.240192,0.405129,0.013386
2019,서초구,423062,170128,0.961323,0.206582,0.06184,0.727477,0.0041
2019,성동구,301034,135593,0.99202,0.199134,0.152144,0.539528,0.109195
2019,성북구,421718,182163,1.063504,0.409503,0.154074,0.402926,0.033497
2019,송파구,675530,278057,0.883711,0.323652,0.041657,0.619973,0.014717
2019,양천구,458095,176916,0.966283,0.372343,0.03886,0.577092,0.011704
2019,영등포구,363820,172071,1.07043,0.218014,0.058944,0.681107,0.041935
2019,용산구,226437,108908,0.999339,0.282673,0.211709,0.491954,0.013664
2019,은평구,475571,205349,0.961514,0.435769,0.058248,0.495621,0.010363
2019,종로구,150370,73446,1.004643,0.144388,0.110826,0.703249,0.041537
2019,중구,124430,61517,1.003284,0.080868,0.044305,0.785596,0.089231
2019,중랑구,396233,180683,0.975382,0.457766,0.035987,0.453138,0.053109
2020,강남구,538853,234547,0.945427,0.204733,0.026668,0.765496,0.003103
2020,강동구,459485,196139,0.949016,0.397274,0.043821,0.54338,0.015525
2020,강북구,308115,145867,0.978638,0.452203,0.054534,0.457573,0.03569
2020,강서구,580372,266948,0.937834,0.323495,0.106214,0.551526,0.018765
2020,관악구,494436,274530,0.977875,0.398926,0.141765,0.446175,0.013135
2020,광진구,346546,167243,1.039111,0.305086,0.058133,0.617394,0.019388
2020,구로구,404412,180455,1.049541,0.329776,0.033589,0.580791,0.055844
2020,금천구,231723,114638,1.073135,0.205855,0.01517,0.630421,0.148554
2020,노원구,523074,218211,0.891527,0.467468,0.097982,0.412065,0.022485
2020,도봉구,325263,139077,0.972512,0.498726,0.052784,0.400145,0.048345
2020,동대문구,342588,167339,1.039423,0.366878,0.085737,0.495353,0.052032
2020,동작구,391769,184294,1.020191,0.421711,0.092673,0.474112,0.011504
2020,마포구,371747,178311,0.998032,0.277968,0.062301,0.649528,0.010203
2020,서대문구,311889,144548,1.024878,0.369172,0.230426,0.387744,0.012658
2020,서초구,424688,173212,0.954293,0.221216,0.060479,0.714287,0.004018
2020,성동구,293523,135787,0.981464,0.206569,0.151675,0.537223,0.104533
2020,성북구,436692,195040,0.996852,0.434304,0.14628,0.387799,0.031618
2020,송파구,667802,281764,0.872603,0.345882,0.04057,0.599339,0.01421
2020,양천구,454239,180531,0.964665,0.379349,0.033437,0.577065,0.010149
2020,영등포구,379192,184488,1.053283,0.233395,0.055965,0.669041,0.041599
2020,용산구,229381,112556,0.975044,0.308018,0.195537,0.484179,0.012266
2020,은평구,479710,213749,0.952776,0.456399,0.054094,0.480016,0.009491
2020,종로구,149349,74935,0.991913,0.154171,0.107474,0.699037,0.039319
2020,중구,124888,63375,0.981791,0.089944,0.044149,0.77589,0.090017
2020,중랑구,394574,185787,0.962963,0.480546,0.031557,0.438345,0.049552
2021,강남구,538853,234547,0.946305,0.207532,0.028401,0.761171,0.002896
2021,강동구,459485,196139,0.970139,0.406768,0.045209,0.533224,0.014798
2021,강북구,308115,145867,0.976108,0.457285,0.058174,0.448754,0.035788
2021,강서구,580372,266948,0.960251,0.323254,0.109572,0.549633,0.017541
2021,관악구,494436,274530,0.991196,0.403614,0.14773,0.435898,0.012758
2021,광진구,346546,167243,1.043021,0.315234,0.061202,0.604213,0.019351
2021,구로구,404412,180455,1.055837,0.333855,0.033912,0.577374,0.054858
2021,금천구,231723,114638,1.109588,0.213225,0.016849,0.630572,0.139354
2021,노원구,523074,218211,0.885551,0.466643,0.104958,0.405808,0.022591
2021,도봉구,325263,139077,0.975079,0.500659,0.056453,0.393854,0.049035
2021,동대문구,342588,167339,1.056645,0.372747,0.087561,0.486165,0.053527
2021,동작구,391769,184294,1.037022,0.430992,0.097138,0.459793,0.012078
2021,마포구,371747,178311,1.014127,0.284267,0.062689,0.643347,0.009698
2021,서대문구,311889,144548,1.029762,0.373738,0.182562,0.431631,0.01207
2021,서초구,424688,173212,0.955234,0.227752,0.062567,0.705243,0.004438
2021,성동구,293523,135787,0.981059,0.206966,0.149905,0.540531,0.102598
2021,성북구,436692,195040,1.006322,0.437691,0.150719,0.380526,0.031063
2021,송파구,667802,281764,0.881113,0.350388,0.041691,0.594195,0.013726
2021,양천구,454239,180531,0.969113,0.376728,0.034677,0.578812,0.009783
2021,영등포구,379192,184488,1.080672,0.238847,0.057688,0.663326,0.040139
2021,용산구,229381,112556,0.987233,0.305023,0.185927,0.49692,0.01213
2021,은평구,479710,213749,0.969595,0.464247,0.057064,0.469397,0.009293
2021,종로구,149349,74935,1.003883,0.155862,0.107767,0.695888,0.040483
2021,중구,124888,63375,1.012576,0.094266,0.048193,0.765906,0.091635
2021,중랑구,394574,185787,0.972006,0.486109,0.033932,0.430572,0.049388
2022,강남구,522752,234547,0.932086,0.199685,0.028854,0.768656,0.002806
2022,강동구,398271,196139,0.983063,0.397584,0.047213,0.540959,0.014244
2022,강북구,316990,145867,1.037281,0.440567,0.061026,0.462583,0.035824
2022,강서구,585027,266948,0.976411,0.311668,0.106858,0.564275,0.017199
2022,관악구,489514,274530,1.010174,0.393912,0.152141,0.441841,0.012105
2022,광진구,341566,167243,1.061073,0.305533,0.06423,0.611534,0.018704
2022,구로구,403550,180455,1.079366,0.316695,0.035,0.596721,0.051584
2022,금천구,220070,114638,1.130105,0.207685,0.018102,0.647869,0.126344
2022,노원구,555318,218211,1.015228,0.449922,0.109709,0.418363,0.022005
2022,도봉구,341355,139077,1.040539,0.486121,0.060312,0.405527,0.048039
2022,동대문구,323173,167339,1.072033,0.36558,0.092223,0.489665,0.052532
2022,동작구,381689,184294,1.047066,0.421791,0.104584,0.462491,0.011134
2022,마포구,361271,178311,1.02527,0.268441,0.061448,0.661119,0.008992
2022,서대문구,298338,144548,1.056978,0.361685,0.174292,0.452389,0.011634
2022,서초구,400006,173212,0.929837,0.217849,0.065226,0.712528,0.004397
2022,성동구,286321,135787,0.982583,0.200792,0.149145,0.55169,0.098373
2022,성북구,412357,195040,1.04175,0.425126,0.157905,0.386767,0.030202
2022,송파구,629267,281764,0.880975,0.324374,0.041385,0.622026,0.012216
2022,양천구,460203,180531,0.975655,0.368338,0.038364,0.583872,0.009427
2022,영등포구,348870,184488,1.101936,0.232218,0.060611,0.670198,0.036972
2022,용산구,219681,112556,0.995194,0.279829,0.178136,0.530962,0.011073
2022,은평구,457181,213749,0.990157,0.452381,0.059109,0.479563,0.008947
2022,종로구,142900,74935,1.023634,0.149406,0.101084,0.709533,0.039976
2022,중구,121446,63375,1.013744,0.091754,0.048621,0.771072,0.088552
2022,중랑구,393628,185787,0.986183,0.472382,0.037718,0.441432,0.048468
2023,강남구,539297,237639,0.960373,0.205149,0.028877,0.763311,0.002662
2023,강동구,456800,202602,0.958762,0.398056,0.047255,0.541906,0.012783
2023,강북구,287918,143436,1.008422,0.438164,0.063843,0.4642,0.033793
2023,강서구,560995,273059,0.965059,0.302919,0.109715,0.57003,0.017336
2023,관악구,479790,283003,0.992732,0.390828,0.155793,0.442396,0.010983
2023,광진구,334942,169703,1.057076,0.307986,0.064961,0.609433,0.01762
2023,구로구,391809,183638,1.070949,0.318812,0.034357,0.600575,0.046256
2023,금천구,226388,119576,1.1014,0.20744,0.017319,0.657733,0.117508
2023,노원구,498037,217800,0.875051,0.446356,0.114115,0.418994,0.020535
2023,도봉구,306437,137870,0.987836,0.48513,0.061686,0.407393,0.045791
2023,동대문구,340101,171946,1.067033,0.370317,0.092821,0.490502,0.04636
2023,동작구,377821,186078,1.054192,0.421744,0.10807,0.461001,0.009185
2023,마포구,362701,180459,1.022615,0.268256,0.061752,0.661579,0.008413
2023,서대문구,305725,146397,1.058403,0.357932,0.177845,0.453317,0.010906
2023,서초구,406675,169277,0.954229,0.220251,0.065596,0.70992,0.004234
2023,성동구,276723,132568,1.007679,0.200959,0.152304,0.556097,0.09064
2023,성북구,425160,196499,1.016295,0.421914,0.160346,0.389174,0.028566
2023,송파구,653369,285415,0.867873,0.338079,0.043691,0.606101,0.012129
2023,양천구,435645,180421,0.979116,0.373516,0.039323,0.578092,0.009069
2023,영등포구,373300,189447,1.089202,0.233033,0.060456,0.672152,0.034359
2023,용산구,212914,107664,1.03614,0.266047,0.162783,0.561354,0.009817
2023,은평구,466475,215511,0.983708,0.452865,0.058667,0.479928,0.00854
2023,종로구,138891,71657,1.078443,0.147979,0.096356,0.718025,0.03764
2023,중구,120961,64443,1.039725,0.092625,0.047812,0.776996,0.082567
2023,중랑구,381547,187708,0.988019,0.471154,0.038086,0.445464,0.045295
2024,강남구,539297,237639,0.950126,0.217929,0.02918,0.750357,0.002534
2024,강동구,456800,202602,1.03806,0.418983,0.045845,0.523599,0.011573
2024,강북구,287918,143436,1.003667,0.44607,0.064056,0.45922,0.030654
2024,강서구,560995,273059,0.970962,0.305203,0.107577,0.569734,0.017486
2024,관악구,479790,283003,1.000625,0.396392,0.157049,0.436568,0.009991
2024,광진구,334942,169703,1.058272,0.3145,0.064946,0.604338,0.016215
2024,구로구,391809,183638,1.070552,0.326808,0.034155,0.595843,0.043194
2024,금천구,226388,119576,1.109788,0.210621,0.016833,0.662636,0.10991
2024,노원구,498037,217800,0.863577,0.45172,0.111185,0.418481,0.018613
2024,도봉구,306437,137870,0.989679,0.49139,0.058632,0.408561,0.041416
2024,동대문구,340101,171946,1.07632,0.380143,0.092773,0.486085,0.040999
2024,동작구,377821,186078,1.029703,0.426384,0.10705,0.457422,0.009144
2024,마포구,362701,180459,1.023667,0.269647,0.0606,0.662301,0.007452
2024,서대문구,305725,146397,1.061183,0.360587,0.174679,0.45463,0.010104
2024,서초구,406675,169277,0.950743,0.225363,0.064311,0.706364,0.003962
2024,성동구,276723,132568,1.002866,0.206048,0.153358,0.555292,0.085302
2024,성북구,425160,196499,1.018122,0.426988,0.159447,0.38797,0.025596
2024,송파구,653369,285415,0.863413,0.341919,0.04263,0.605946,0.009505
2024,양천구,435645,180421,0.977591,0.384907,0.038499,0.568265,0.00833
2024,영등포구,373300,189447,1.101036,0.237026,0.058662,0.671908,0.032404
2024,용산구,212914,107664,0.981665,0.258524,0.153365,0.579789,0.008323
2024,은평구,466475,215511,0.98485,0.457099,0.05684,0.477963,0.008099
2024,종로구,138891,71657,1.081206,0.151398,0.096076,0.718391,0.034135
2024,중구,120961,64443,1.046041,0.095799,0.047419,0.78057,0.076212
2024,중랑구,381547,187708,0.983927,0.479939,0.036026,0.442442,0.041593
